part,cusip,issuer,title_of_class,status,symbol,exchange,security_type,share_class_figi,figi,sources,notes
PART_B,85208P600,SPROTT FDS TR,NICKEL MINERS ET,UNRESOLVED,,,,,,,OpenFIGI candidate but no SEC issuer corroboration
PART_B,45784N452,INNOVATOR ETFS TRUST,EQUITY DUAL NOV,UNRESOLVED,,,,,,,OpenFIGI candidate but no SEC issuer corroboration
PART_B,252131AM9,DEXCOM INC,NOTE  0.375% 5/1,NON_EQUITY_OR_UNSUPPORTED,,,,,,,marketSector=['Corp'] not Equity
PART_B,189763105,CO-DIAGNOSTICS INC,COM,UNRESOLVED,,,,,,,no US venue record (possibly delisted/terminated or wrong CUSIP)
PART_B,29355AAH0,ENPHASE ENERGY INC,NOTE         3/0,NON_EQUITY_OR_UNSUPPORTED,,,,,,,marketSector=['Corp'] not Equity
PART_B,47804J677,JOHN HANCOCK EXCHANGE TRADED,DISCIPLINED VALU,UNRESOLVED,,,,,,,OpenFIGI candidate but no SEC issuer corroboration
PART_B,V7780T103,ROYAL CARIBBEAN GROUP,COM,UNRESOLVED,,,,,,,
PART_B,92647N865,VICTORY PORTFOLIOS II,VCSHS US LRG CAP,UNRESOLVED,,,,,,,OpenFIGI candidate but no SEC issuer corroboration
PART_B,89832Q109,TRUIST FINL CORP,COM,VERIFIED_EXACT,TFC,US,Common Stock,BBG001S5YYC0,BBG000BYYLS8,sec_13f_issuer;sec_ticker_file;openfigi,
PART_B,882927395,THEMES ETF TR,LEVERAGE SHS 2X,UNRESOLVED,,,,,,,OpenFIGI candidate but no SEC issuer corroboration
PART_B,45783Y459,INNOVATOR ETFS TRUST,INTL DEV PWR BUF,UNRESOLVED,,,,,,,OpenFIGI candidate but no SEC issuer corroboration
PART_B,25461A221,DIREXION SHARES ETF TRUST,DAILY SHOP BULL,UNRESOLVED,,,,,,,OpenFIGI candidate but no SEC issuer corroboration
PART_B,78781J109,SAILPOINT INC,COM,VERIFIED_MULTI_SOURCE,SAIL,US,Common Stock,BBG01RW30QY2,BBG01RW30Q09,sec_13f_issuer;sec_ticker_file;openfigi,
PART_B,778920306,SHARONAI HOLDINGS INC,COM CL A,VERIFIED_EXACT,SHAZ,US,Common Stock,BBG013B8HFT9,BBG013B8HDZ7,sec_13f_issuer;sec_ticker_file;openfigi,
